id,ancestor_list,origin_time,score_AVE
5051,[4006],49,1.000000
5052,[4006],49,2.000000
5053,[4077],49,3.500000
5054,[4047],49,1.500000
5055,[4047],49,1.000000
5056,[4032],49,1.500000
5057,[4006],49,2.500000
5058,[4054],49,1.500000
5059,[4028],49,3.500000
5060,[4008],49,1.000000
5061,[4047],49,1.000000
5062,[4081],49,2.500000
5063,[4032],49,1.500000
5064,[4032],49,1.000000
5065,[4090],49,1.000000
5066,[4080],49,1.000000
5067,[4054],49,0.000000
5068,[4047],49,0.500000
5069,[4006],49,2.000000
5070,[4028],49,3.000000
5071,[4100],49,2.000000
5072,[4006],49,1.500000
5073,[4008],49,1.000000
5074,[4047],49,0.500000
5075,[4019],49,1.000000
5076,[4077],49,1.000000
5077,[4047],49,0.000000
5078,[4080],49,1.000000
5079,[4032],49,1.000000
5080,[4047],49,0.500000
5081,[4032],49,1.000000
5082,[4028],49,1.000000
5083,[4008],49,2.500000
5084,[4063],49,2.000000
5085,[4054],49,1.500000
5086,[4054],49,1.000000
5087,[4047],49,0.500000
5088,[4054],49,2.000000
5089,[4032],49,1.500000
5090,[4032],49,1.500000
5091,[4063],49,1.000000
5092,[4047],49,1.500000
5093,[4063],49,3.000000
5094,[4032],49,1.500000
5095,[4047],49,0.500000
5096,[4054],49,1.500000
5097,[4090],49,3.500000
5098,[4090],49,1.000000
5099,[4032],49,1.000000
5100,[4081],49,1.500000
6001,[5057],59,4.000000
6002,[5028],59,1.500000
6003,[5026],59,2.000000
6004,[5058],59,2.000000
6005,[5026],59,2.000000
6006,[5058],59,2.500000
6007,[5062],59,0.000000
6008,[5062],59,2.500000
6009,[5056],59,1.500000
6010,[5026],59,0.000000
6011,[5058],59,1.000000
6012,[5022],59,1.500000
6013,[5026],59,2.000000
6014,[5028],59,3.000000
6015,[5058],59,1.000000
6016,[5001],59,1.000000
6017,[5012],59,2.000000
6018,[5072],59,2.500000
6019,[5056],59,1.500000
6020,[5062],59,0.500000
6021,[5022],59,1.000000
6022,[5072],59,2.000000
6023,[5022],59,2.000000
6024,[5026],59,0.000000
6025,[5028],59,1.000000
6026,[5056],59,1.500000
6027,[5083],59,1.500000
6028,[5026],59,1.000000
6029,[5026],59,1.500000
6030,[5062],59,2.500000
6031,[5058],59,3.000000
6032,[5022],59,1.000000
6033,[5028],59,1.500000
6034,[5056],59,1.500000
6035,[5062],59,4.500000
6036,[5012],59,1.000000
6037,[5083],59,2.000000
6038,[5072],59,1.500000
6039,[5028],59,2.000000
6040,[5022],59,1.500000
6041,[5083],59,3.000000
6042,[5022],59,2.500000
6043,[5083],59,2.000000
6044,[5032],59,2.500000
6045,[5058],59,1.000000
6046,[5026],59,2.000000
6047,[5026],59,2.000000
6048,[5026],59,2.000000
6049,[5022],59,1.500000
6050,[5083],59,2.000000
6051,[5022],59,2.000000
6052,[5012],59,4.000000
6053,[5026],59,1.000000
6054,[5026],59,1.000000
6055,[5062],59,1.000000
6056,[5058],59,1.000000
6057,[5028],59,0.500000
6058,[5022],59,1.500000
6059,[5056],59,1.500000
6060,[5056],59,1.000000
6061,[5012],59,2.500000
6062,[5056],59,2.500000
6063,[5058],59,1.000000
6064,[5026],59,1.000000
6065,[5083],59,1.500000
6066,[5028],59,1.000000
6067,[5026],59,3.500000
6068,[5083],59,2.000000
6069,[5072],59,2.000000
6070,[5022],59,2.500000
6071,[5022],59,1.500000
6072,[5058],59,3.000000
6073,[5022],59,1.000000
6074,[5062],59,1.000000
6075,[5083],59,1.500000
6076,[5022],59,2.000000
6077,[5028],59,0.500000
6078,[5026],59,2.500000
6079,[5012],59,3.000000
6080,[5030],59,1.500000
6081,[5026],59,2.000000
6082,[5072],59,2.000000
6083,[5056],59,2.000000
6084,[5026],59,1.000000
6085,[5026],59,2.000000
6086,[5028],59,1.000000
6087,[5083],59,0.500000
6088,[5083],59,1.500000
6089,[5028],59,2.000000
6090,[5056],59,1.500000
6091,[5072],59,6.000000
6092,[5030],59,1.500000
6093,[5032],59,1.000000
6094,[5057],59,3.000000
6095,[5058],59,2.000000
6096,[5028],59,2.000000
6097,[5026],59,1.500000
6098,[5056],59,2.000000
6099,[5026],59,1.000000
6100,[5083],59,5.000000
7001,[6098],69,2.500000
7002,[6048],69,5.000000
7003,[6094],69,1.000000
7004,[6091],69,2.000000
7005,[6091],69,1.500000
7006,[6026],69,1.500000
7007,[6039],69,2.000000
7008,[6091],69,6.000000
7009,[6094],69,1.000000
7010,[6098],69,1.000000
7011,[6098],69,1.000000
7012,[6098],69,1.500000
7013,[6048],69,2.000000
7014,[6091],69,3.000000
7015,[6098],69,2.000000
7016,[6098],69,1.500000
7017,[6098],69,1.000000
7018,[6098],69,1.500000
7019,[6039],69,4.000000
7020,[6091],69,3.000000
7021,[6094],69,2.500000
7022,[6091],69,1.000000
7023,[6098],69,0.500000
7024,[6098],69,2.500000
7025,[6094],69,2.000000
7026,[6098],69,2.000000
7027,[6094],69,3.500000
7028,[6067],69,1.000000
7029,[6098],69,1.000000
7030,[6047],69,1.500000
7031,[6047],69,1.000000
7032,[6091],69,1.000000
7033,[6098],69,2.500000
7034,[6091],69,4.000000
7035,[6094],69,2.000000
7036,[6098],69,2.500000
7037,[6026],69,2.000000
7038,[6094],69,4.500000
